District ID,District Name,School ID,School Name,Domain,School Year,Number of Students Tested,level1,level2,level3
88,Naugatuck School District,6,Salem School,Creative / Aesthetic,2010-11,38,26.3,47.4,26.3
88,Naugatuck School District,7,Western School,Creative / Aesthetic,2010-11,54,9.3,66.7,24.1
280,"New Beginnings Inc., Family Academy District",1,"New Beginnings Inc., Family Academy",Creative / Aesthetic,2010-11,40,2.5,37.5,60
89,New Britain School District,3,Chamberlain School,Creative / Aesthetic,2010-11,127,18.9,63,18.1
89,New Britain School District,11,DiLoreto Magnet School,Creative / Aesthetic,2010-11,99,22.2,69.7,8.1
89,New Britain School District,5,Gaffney School,Creative / Aesthetic,2010-11,62,11.3,33.9,54.8
89,New Britain School District,6,Holmes School,Creative / Aesthetic,2010-11,67,35.8,52.2,11.9
89,New Britain School District,7,Jefferson School,Creative / Aesthetic,2010-11,72,40.3,59.7,0
89,New Britain School District,8,Lincoln School,Creative / Aesthetic,2010-11,115,17.4,56.5,26.1
89,New Britain School District,9,Northend School,Creative / Aesthetic,2010-11,49,30.6,69.4,0
89,New Britain School District,12,Smalley Academy,Creative / Aesthetic,2010-11,69,14.5,82.6,2.9
89,New Britain School District,13,Smith School,Creative / Aesthetic,2010-11,94,14.9,60.6,24.5
89,New Britain School District,15,Vance School,Creative / Aesthetic,2010-11,92,30.4,41.3,28.3
90,New Canaan School District,4,East School,Creative / Aesthetic,2010-11,91,7.7,39.6,52.7
90,New Canaan School District,2,South School,Creative / Aesthetic,2010-11,101,5,75.2,19.8
90,New Canaan School District,3,West School,Creative / Aesthetic,2010-11,92,0,28.3,71.7
91,New Fairfield School District,1,Consolidated School,Creative / Aesthetic,2010-11,137,8,47.4,44.5
92,New Hartford School District,1,Bakerville Consolidated School,Creative / Aesthetic,2010-11,38,10.5,2.6,86.8
92,New Hartford School District,2,New Hartford Elementary School,Creative / Aesthetic,2010-11,35,11.4,25.7,62.9
93,New Haven School District,15,Augusta Lewis Troup School,Creative / Aesthetic,2010-11,58,1.7,51.7,46.6
93,New Haven School District,2,Barnard Environmental Magnet School,Creative / Aesthetic,2010-11,45,13.3,57.8,28.9
93,New Haven School District,3,Beecher School,Creative / Aesthetic,2010-11,40,15,65,20
93,New Haven School District,18,Benjamin Jepson Magnet School,Creative / Aesthetic,2010-11,56,10.7,26.8,62.5
93,New Haven School District,43,Bishop Woods School,Creative / Aesthetic,2010-11,52,5.8,94.2,0
93,New Haven School District,48,Celentano School,Creative / Aesthetic,2010-11,42,54.8,42.9,2.4
93,New Haven School District,41,Christopher Columbus Academy,Creative / Aesthetic,2010-11,71,39.4,25.4,35.2
93,New Haven School District,42,Clemente Leadership Academy,Creative / Aesthetic,2010-11,50,0,20,80
93,New Haven School District,6,Clinton Avenue School,Creative / Aesthetic,2010-11,64,1.6,35.9,62.5
93,New Haven School District,31,Conte/West Hills Magnet School,Creative / Aesthetic,2010-11,73,9.6,84.9,5.5
93,New Haven School District,9,Davis 21st Century Magnet Elementary School,Creative / Aesthetic,2010-11,49,2,57.1,40.8
