District ID,District Name,School ID,School Name,School Year,Number of Students Tested,Standard CMT Score Summary Average Scale Score,Standard CMT Score Summary Percent at above Goal level,Standard CMT Score Summary Percent at above Proficient level
15,Bridgeport School District,30,Waltersville School,2008-09,43,236,46.5,74.4
15,Bridgeport School District,36,Winthrop School,2008-09,89,258.9,65.2,93.3
17,Bristol School District,51,Chippens Hill Middle School,2008-09,272,265.1,69.5,90.8
17,Bristol School District,53,Memorial Boulevard Middle School,2008-09,168,256.8,62.5,87.5
17,Bristol School District,52,Northeast Middle School,2008-09,172,258,64.5,87.2
18,Brookfield School District,53,Whisconier Middle School,2008-09,213,284.8,85,96.7
19,Brooklyn School District,51,Brooklyn Middle School,2008-09,89,271.3,76.4,94.4
21,Canaan School District,1,Lee H. Kellogg School,2008-09,,,,
22,Canterbury School District,51,Dr. Helen Baldwin Middle School,2008-09,58,269.9,81,98.3
23,Canton School District,3,Canton Intermediate School,2008-09,143,290.2,91.6,96.5
241,Capitol Region Education Council,52,CREC - Public Safety Academy Interdistrict Magnet School,2008-09,28,244.5,46.4,85.7
241,Capitol Region Education Council,61,Metropolitan Learning Center,2008-09,99,266.1,69.7,87.9
241,Capitol Region Education Council,31,Montessori Magnet School,2008-09,,,,
241,Capitol Region Education Council,50,Two Rivers Middle Magnet School,2008-09,202,260.6,64.4,84.7
24,Chaplin School District,2,Chaplin Elementary School,2008-09,27,266.8,66.7,96.3
25,Cheshire School District,1,Chapman School,2008-09,58,296.3,91.4,100
25,Cheshire School District,6,Doolittle School,2008-09,100,279.3,84,96
25,Cheshire School District,4,Highland School,2008-09,156,293.8,90.4,99.4
25,Cheshire School District,5,Norton School,2008-09,69,298.5,94.2,97.1
26,Chester School District,1,Chester Elementary School,2008-09,52,298.3,94.2,100
27,Clinton School District,51,Jared Eliot School,2008-09,170,263.8,71.2,90
28,Colchester School District,51,William J. Johnston Middle School,2008-09,229,273.7,77.3,94.8
29,Colebrook School District,1,Colebrook Consolidated School,2008-09,,,,
30,Columbia School District,1,Horace W. Porter School,2008-09,51,269.1,72.5,88.2
243,Cooperative Educational Services,1,Six-Six Magnet School,2008-09,40,253.5,60,85
31,Cornwall School District,1,Cornwall Consolidated School,2008-09,,,,
32,Coventry School District,51,Capt. Nathan Hale School,2008-09,149,266.3,71.8,92.6
33,Cromwell School District,51,Cromwell Middle School,2008-09,147,271.4,78.2,90.5
34,Danbury School District,51,Broadview Middle School,2008-09,341,262.9,69.5,88.6
34,Danbury School District,52,Rogers Park Middle School,2008-09,305,267.2,69.5,90.5
35,Darien School District,51,Middlesex Middle School,2008-09,385,298,93.8,97.4
36,Deep River School District,1,Deep River Elementary School,2008-09,49,280,89.8,98
37,Derby School District,6,Bradley School,2008-09,55,246.8,50.9,81.8
37,Derby School District,4,Irving School,2008-09,66,232.6,43.9,66.7
40,East Granby School District,51,East Granby Middle School,2008-09,65,277.7,78.5,95.4
41,East Haddam School District,51,Nathan Hale-Ray Middle School,2008-09,132,262.9,66.7,91.7
42,East Hampton School District,51,East Hampton Middle School,2008-09,163,277.6,84,96.9
43,East Hartford School District,24,Sunset Ridge School Elementary Academy for Arts and World Languages,2008-09,485,227.5,31.5,62.1
44,East Haven School District,17,Carbone School/East Haven Academy,2008-09,41,271.7,90.2,97.6
44,East Haven School District,14,D. C. Moore School,2008-09,28,268.6,82.1,96.4
44,East Haven School District,1,Deer Run School,2008-09,44,252.1,59.1,84.1
44,East Haven School District,13,Dominick H. Ferrara School,2008-09,30,239.6,36.7,83.3
44,East Haven School District,10,Grove J. Tuttle School,2008-09,34,260.7,64.7,97.1
44,East Haven School District,7,Momauguin School,2008-09,21,250.5,66.7,95.2
44,East Haven School District,16,Robert W. Carbone School,2008-09,51,245.8,49,92.2
45,East Lyme School District,51,East Lyme Middle School,2008-09,197,286.2,88.3,97.5
47,East Windsor School District,54,East Windsor Middle School,2008-09,84,256.8,65.5,86.9
39,Eastford School District,1,Eastford Elementary School,2008-09,20,274.6,90,95
46,Easton School District,51,Helen Keller Middle School,2008-09,136,289.3,94.9,98.5
48,Ellington School District,7,Windermere Intermediate School,2008-09,204,283.6,88.2,98.5
289,Elm City College Preparatory School,1,Elm City College Preparatory School,2008-09,52,249.5,55.8,82.7
49,Enfield School District,13,Edgar H. Parkman School,2008-09,45,292.2,97.8,97.8
49,Enfield School District,16,Eli Whitney School,2008-09,47,282.6,91.5,100
49,Enfield School District,2,Enfield Street School,2008-09,40,284.8,90,100
49,Enfield School District,12,Harriet Beecher Stowe School,2008-09,35,277.7,77.1,94.3
49,Enfield School District,4,Hazardville Memorial School,2008-09,61,276.4,83.6,93.4
49,Enfield School District,18,Henry Barnard School,2008-09,57,268.2,78.9,93
49,Enfield School District,11,Nathan Hale School,2008-09,28,270.3,92.9,100
49,Enfield School District,15,Prudence Crandall School,2008-09,64,270.4,76.6,93.8
49,Enfield School District,17,Thomas G. Alcorn School,2008-09,35,251.7,60,97.1
50,Essex School District,1,Essex Elementary School,2008-09,88,283.5,81.8,96.6
51,Fairfield School District,52,Fairfield Woods Middle School,2008-09,204,293.7,88.7,97.5
51,Fairfield School District,53,Roger Ludlowe Middle School,2008-09,283,281.2,82.3,96.1
51,Fairfield School District,51,Tomlinson Middle School,2008-09,248,280.7,84.7,94
52,Farmington School District,5,West Woods Upper Elementary School,2008-09,330,289.5,90.3,97.3
53,Franklin School District,1,Franklin Elementary School,2008-09,,,,
54,Glastonbury School District,8,Gideon Welles School,2008-09,523,291.7,90.6,96.9
56,Granby School District,4,Kelly Lane Intermediate School,2008-09,81,307.4,96.3,100
56,Granby School District,3,Wells Road Intermediate School,2008-09,75,306.3,93.3,100
57,Greenwich School District,51,Central Middle School,2008-09,206,284.6,84,97.1
57,Greenwich School District,52,Eastern Middle School,2008-09,254,292.6,88.6,95.3
57,Greenwich School District,53,Western Middle School,2008-09,140,264.1,74.3,88.6
58,Griswold School District,51,Griswold Middle School,2008-09,118,257.7,66.9,89
59,Groton School District,53,Carl C. Cutler Middle School,2008-09,114,270.5,77.2,87.7
59,Groton School District,51,Fitch Middle School,2008-09,136,246.2,55.1,79.4
59,Groton School District,52,West Side Middle School,2008-09,75,253.2,56,86.7
60,Guilford School District,7,A. Baldwin Middle School,2008-09,295,295,93.2,98.3
62,Hamden School District,12,Bear Path School,2008-09,58,276.8,82.8,98.3
62,Hamden School District,2,Church Street School,2008-09,52,244.5,55.8,75
62,Hamden School District,3,Dunbar Hill School,2008-09,49,240.6,46.9,77.6
62,Hamden School District,4,Helen Street School,2008-09,42,243,45.2,83.3
62,Hamden School District,11,Ridge Hill School,2008-09,44,256.9,63.6,79.5
62,Hamden School District,1,Shepherd Glen School,2008-09,40,262.8,65,87.5
62,Hamden School District,10,Spring Glen School,2008-09,35,267.5,68.6,94.3
62,Hamden School District,14,West Woods School,2008-09,76,272.7,76.3,93.4
63,Hampton School District,1,Hampton Elementary School,2008-09,,,,
64,Hartford School District,1,Americas Choice at SAND,2008-09,48,200.6,10.4,39.6
64,Hartford School District,4,Batchelder School,2008-09,53,229.1,28.3,64.2
64,Hartford School District,33,Breakthrough Magnet School,2008-09,33,243.4,57.6,90.9
64,Hartford School District,6,Burns Latino Studies Academy,2008-09,51,214.6,21.6,45.1
64,Hartford School District,23,Burr School,2008-09,42,229.5,31,71.4
64,Hartford School District,69,Capital Preparatory Magnet School,2008-09,38,238.3,31.6,84.2
64,Hartford School District,24,Clark School,2008-09,40,216.2,25,55
64,Hartford School District,64,Classical Magnet School,2008-09,118,237.8,44.9,66.9
64,Hartford School District,53,Dr. Joseph Bellizzi Middle School,2008-09,59,221,32.2,55.9
64,Hartford School District,28,Dr. Ramon E. Betances Early Reading Lab School,2008-09,38,202.9,13.2,42.1
64,Hartford School District,54,Hartford Magnet Middle School,2008-09,189,256.7,57.1,82.5
64,Hartford School District,9,Hooker School,2008-09,39,241.3,56.4,76.9
64,Hartford School District,10,Kennelly School,2008-09,59,236.2,42.4,69.5
64,Hartford School District,11,Kinsella Magnet School,2008-09,48,222.9,18.8,60.4
64,Hartford School District,16,M. L. King School,2008-09,53,225.9,37.7,54.7
64,Hartford School District,12,McDonough School,2008-09,50,211.7,18,48
64,Hartford School District,19,Milner Core Knowledge School,2008-09,35,186.2,2.9,22.9
64,Hartford School District,32,Moylan School,2008-09,37,224.8,21.6,62.2
64,Hartford School District,14,Naylor School,2008-09,70,229.5,34.3,60
64,Hartford School District,20,Noah Webster Micro Society School,2008-09,64,236.5,43.8,70.3
64,Hartford School District,15,Parkville Community School,2008-09,49,231.5,32.7,69.4
64,Hartford School District,30,Sanchez School,2008-09,34,228,35.3,70.6
64,Hartford School District,17,Sarah J. Rawson Elementary School,2008-09,60,228.2,35,66.7
64,Hartford School District,26,Simpson-Waverly School,2008-09,30,220.2,23.3,60
64,Hartford School District,25,STEM Magnet School at Annie-Fisher School,2008-09,33,227.9,30.3,66.7
64,Hartford School District,21,West Middle School,2008-09,55,243.7,49.1,78.2
64,Hartford School District,22,Wish School,2008-09,43,226.4,30.2,60.5
65,Hartland School District,1,Hartland School,2008-09,,,,
